"","V1","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score"
"432",432,5,4,3,5,4,4,4,4,4,3,4,3,3,4,4,4,4,4,2,3,3,3,3,2,3,3,4,4,3,1,1,1,1,1,1,1,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1.8,1,2,18
"433",433,5,5,5,5,5,5,5,4,5,3,3,3,4,4,4,4,4,4,4,3,5,2,3,3,3,3,5,4,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,4,4,4,4,4,3,3,3,3,3,3,2,2,4,4,4,1,1,2,1,1,2,19
"434",434,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,4,5,3,5,2,4,4,4,4,5,5,4,1,1,1,1,1,1,1,5,5,3,5,5,5,5,4,5,3,5,4,5,2,2,2,4,5,5,3,3,3,3,3,3,3,4,1,2,6,1,6,18
"435",435,3,4,3,4,4,4,4,3,4,3,3,4,4,5,3,5,4,3,4,3,4,3,4,4,3,3,5,5,3,1,1,1,1,1,1,1,5,5,4,5,5,5,5,3,5,4,5,5,5,3,3,3,3,3,3,3,2,1,1,5,5,5,2,1,2,1,1,2,19
"436",436,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,3,3,3,4,4,3,1,1,1,1,1,1,1,5,5,4,5,3,3,4,2,3,2,3,3,5,3,3,3,3,3,3,3,3,2,3,3,5,3,2,1,2,1,1,2,19
"437",437,5,4,4,5,4,4,5,4,4,3,4,3,5,5,5,5,5,4,4,4,5,2,4,3,4,4,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,3,4,4,5,1,1,1,4,4,5,5,1,2,1,1,2,16
"438",438,5,5,5,5,4,4,4,4,4,3,3,4,3,4,4,4,5,4,3,3,4,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,4,3,4,4,4,2,1,2,4,4,4,1,1,1,1,1,2,17
"439",439,4,3,4,5,5,5,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,4,5,4,4,3,5,4,3,3,3,3,3,3,3,4,4,1,3,3,3.12,2.47,2,2.16,3.99,3.98,3.84,3.02416666666667,1.02,1.77,1.49,1,2.11,18.09
"440",440,5,4,4,5,5,5,5,4,3,3,3,3,4,4,4,4,5,4,4,3,3,3,3,2,3,3,3,4,3,1,1,1,1,1,1,1,5,4,4,4,4,5,5,3,3,2,4,5,5,3,5,3,3,2,2,3,1,1,1,5,5,5,2,1,2,2,1,2,18
"441",441,4,3,4,3,3,5,5,5,4,3,3,3,5,5,4,5,4,3,4,3,4,3,4,3,5,3,5,3,4,1,1,1,1,1,1,1,5,5,4,4,4,4,4,3,3,3,5,5,5,3,3,3,3,3,3,3,2,2,2,4,4,4,5,1,2,1,1,2,18
"442",442,4,3,3,3,3,5,4,4,3,1,1,1,3,4,3,4,4,3,1,2,2,2,3,1,3,3,3,3,3,1,1,1,1,1,1,1,4,5,4,3,3,4,4,2,5,3,3,3,5,2,3,3,3,2,1,3,3,2,2,5,5,4,2,1,2,1,1,2,21
"443",443,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,3,3,3,2,2,2,2,3,3,4,4,1,1,1,1,1,1,1,4,4,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,2.2,2,2,4,4,4,4,1,2,2,1,2,17.95
"444",444,4,4,4,5,5,5,5,5,5,3,3,3,4,4,4,3,3,3,3,3,4,3,2,4,3,3,4,4,3,1,1,1,1,1,1,1,4,4,4,4,3,3,3,2,3,3,4,4,4,2,2,2,3,3,4,3,2,2,2,4,4,4,2,1,2,2,1,2,18
"445",445,5,5,3,5,5,5,5,4,5,4,4,4,4,4,5,3,4,4,5,5,5,2,2,2,5,5,5,5,4,1,1,1,1,1,1,1,5,5,4,5,5,5,5,2,5,2,5,5,5,5,5,5,2,3,5,5,1,1,1,5,5,5,2,1,2,1,1,2,18
"446",446,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,3,3,3,5,5,3,1,1,1,1,1,1,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,2,2,2,5,5,4,3,1,2,2,1,2,20
"447",447,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,1,1,1,1,1,1,1,4,4,5,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,2,2,2,2,4,3,4,3,1,1,6,1,2,17
"448",448,4,3,3,4,4,4,4,4,4,3,2,3,4,4,4,4,5,2,4,3,3,2,2,2,3,2,4,4,4,1,1,1,1,1,1,1,3,4,4,5,3,5,5,4,4,2,4,4,4,4,4,4,3,3,3,3,3,4,3,2,4,3,3,4,2,2,1,2,19
"449",449,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,2,4,2,3,4,4,4,4,1,1,1,1,1,1,1,5,5,4,4,3,4,5,3,4,2,3,3,3,3,4,4,3,3,3,3,2,2,2,3,5,5,5,1,1.87,4,1,2,19
"450",450,5,3,4,4,4,5,4,3,5,3,3,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,5,4,3,1,1,1,1,1,1,1,4,5,3,5,5,3,5,2,4,3,5,5,3,3,4,3,2,3,3,3,3,2,3,3,4,3,3,1,1,2,1,2,18
"451",451,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,1,18
"452",452,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,1,1,1,1,1,1,1,4,5,4,4,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,4,4,4,2,1,2,2,1,2,20
"453",453,5,3,3,3,4,3,4,3,3,2,2,2,2,4,2,2,3,2,3,2,3,3,4,3,3,3,4,3,3,1,1,1,1,1,1,1,5,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,1,2,1,1,2,18
"454",454,5,5,5,5,4,5,5,4,3,2,2,3,4,5,4,4,4,3,3,2,3,3,3,2,3,3,5,5,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,5,5,5,3,3,3,3,3,2,3,3,1,1,5,5,5,4,1,2,1,1,2,20
"455",455,4,4,4,5,5,5,5,3,3,2,3,3,3,4,3,3,5,4,2,3,3,1,3,1,2,2,3,4,3,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,3,4,4,4,2,4,4,2,4,3,4,2,2,2,2,2,2,5,1,2,1,1,2,12
"456",456,5,4,3,2,2,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,1,1,1,1,1,1,1,4,4,5,5,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,3,2,2,3,3,5,5,2,1,2,1,1,2,20
"457",457,5,5,5,5,5,3,5,5,5,3,3,3,5,5,5,5,5,5,3,3,5,2,4,3,3,3,5,5,5,1,1,1,1,1,1,1,4,5,4,4,5,5,4,3,3,3,3,5,5,3,3,3,4,3,2,4,1,1,1,4,5,5,3,1,2,5,1,2,17
"458",458,5,4,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,2,4,4,4,5,5,1,1,1,1,1,1,1,4,4,4,4,3,4,4,2,4,3,3,3,3,3,3,4,2,3,2,3,3,3,3,4,4,4,4,1,2,1,1,2,21
"459",459,4,5,4,2,4,5,5,5,4,2,2,2,5,5,4,5,5,5,2,2,4,1,2,2,2,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,5,5,5,5,2,4,2,4,2,2,3,1,1,1,5,5,5,1,1,1,1,1,2,18
"460",460,5,4,3,2,3,5,4,4,5,5,5,3,2,4,5,4,3,5,4,5,3,1,3,2,2,1,4,5,4,1,1,1,1,1,1,1,5,5,4,5,4,2,4,3,4,3,2,5,5,2,3,3,1,3,3,3,1,1,3,4,5,5,7,1,2,1,1,2,19
"461",461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,3,3,2,4,4,4,1,1,1,1,1,1,1,4,4,4,4,3,4,4,3,4,2,3,3,4,2,2,2,3,3,3,4,2,2,2,5,5,4,2,1,2,1,1,2,20
"462",462,4,4,4,5,4,4,4,4,5,3,3,4,4,5,4,5,5,3,3,2,4,4,4,4,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,3,3,3,3,3,3,3,3,5,4,4,4,5,5,4,3,1,2,2,4,4,4,2,1,2,1,1,1.93333333333333,17
"463",463,4,4,3,5,4,5,4,4,4,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,1,1,1,1,1,1,1,4,4,4,5,4,5,5,4,5,4,5,4,4,3,3,3,3,3,3,4,2,2,2,5,5,4,5,1,2,1,1,6,20
"464",464,3,3,5,5,5,3,3,3,4,3,4,3,3,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,5,2,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,2,2.67166666666667,1,1,18
"465",465,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,1,2,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,18
"466",466,5,4,4,5,5,5,4,4,5,3,5,4,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,3,3,3,5,1,1,1,5,5,5,4,1,2,2,1,2,18
"467",467,5,5,4,5,5,5,5,4,4,3,3,3,4,5,5,5,5,5,5,3,4,4,4,4,3,3,4,4,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,3,4,3,3,3,3,5,1,1,1,5,5,5,4,1,2,1,1,2,18
"468",468,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,3,4,1,1,1,5,5,5,2,1,2,1,1,2,18
"469",469,5,3,3,5,5,5,5,5,3,3,3,3,5,5,3,3,3,3,5,3,5,2,5,3,3,5,5,5,5,1,1,1,1,1,1,1,5,4,3,4,4,5,4,3,5,3,3,3,3,1,2,2,1,3,3,3,3,3,3,3,5,3,1,1,2,3,1,2,20
"470",470,5,4,4,5,4,4,5,5,4,3,4,3,3,4,4,4,4,4,4,3,4,2,3,3,3,3,4,4,4,1,1,1,1,1,1,1,5,5,3,5,3,3,3,2,3,2,2,3,4,3,3,2,2,2,2,2,3,3,3,2,3,3,1,1,2,1,1,2,17
"471",471,5,4,5,5,5,5,5,5,5,3,3,3,5,5,4,5,5,5,5,3,5,2,3,2,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,4,3,4,5,5,4,4,4,3,4,5,3,1,1,1,5,5,5,2,1,1.69333333333333,3,1,2,18
"472",472,5,3,4,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,4,5,5,5,3,5,3,5,5,5,1,1,1,1,1,1,1,5,5,5,5,3,4,5,3,3,3,3,4,3,3,2,2,2,3,5,5,1,1,1,5,5,5,4,1,2,1,1,2,18
"473",473,5,3,5,5,4,5,5,4,4,4,3,4,4,4,5,4,5,4,4,3,3,3,3,2,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,2,2,3,3,3,3,3,4,3,3,1,2,1,1,2,19
"474",474,5,4,4,5,4,5,4,5,5,3,4,4,4,5,5,4,4,5,4,4,4,2,3,3,3,3,4,4,4,1,1,1,1,1,1,1,4,5,5,5,4,5,5,4,3,5,4,4,4,3,4,4,4,3,3,4,2,1,2,5,5,3,6,1,2,2.1,1,2,18
"475",475,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,1,2,1,5,5,5,4,1,1,1,1,2,19
"476",476,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,1,1,1,5,5,5,2,1,1,2,1,2,18
"477",477,5,3,4,5,5,3,4,3,3,3,3,2,3.89,5,5,5,5,5,3,2,3,2,2,2.7,3.11,3,5,5,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,1,1,1,5,4,5,7,1,1,2,1,1,17
"478",478,3,3,4,5,5,5,4,4,5,3,3,4,5,4,5,4,4,5,3,4,4,2,3,1,4,4,5,4,5,1,1,1,1,1,1,1,3,4,4,3,4,3,3,3,4,3,4,4,4,3,4,3,3,3,2,4,1,1,2,4,4,4,3,1,2,2,1,2,16
"479",479,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,3,3,3,3,3,5,5,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,1,1,1,5,5,5,2,1,2,1,1,2,18
"480",480,5,5,5,5,5,5,5,5,5,4,3,3,3,5,4,5,4,5,5,4,4,3,4,3,3,3,3,4,5,1,1,1,1,1,1,1,3,4,4,3,3,3,4,3,3,3,3,4,5,5,5,3,2.71,4,4,4,2,1,1,4,5,5,7,1,2,1,1,2,18
"481",481,4,5,5,5,4,5,5,3,5,5,2,3,3,5,5,2,5,4,5,3,4,3,3,2,3,3,3,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,7,1,2,1,1,2,18
"482",482,5,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,1,3,3,4,4,4,1,1,1,1,1,1,1,5,5,3,5,3,3,4,2,4,3,4,4,4,3,4,2,2,3,3,4,2,2,2,4,5,4,1,1,2,3,1,2,19
"483",483,4,3,3,3,3,3,3,3,4,2,2,2,3,4,3,3,3,2,3,3,3,3,3,3,2,2,4,2,3,1,1,1,1,1,1,1,5,5,5,5,5,4,4,4,5,3.20333333333333,3,3,4,3,3,3,3,2,3,3,2,2,2,5,3,4,1,1,2,1,1,2,18
"484",484,4,4,4,4,4,4,5,4,4,2,3,2,4,4,5,4,4,4,3,3,4,2,3,2,4,3,3,4,4,1,1,1,1,1,1,1,5,5,5,4,2,3,3,2,3,2,3,3,4,3,4,2,2,4,2,2,3,2,4,3,4,3,6,1,2,2,1,2,19
"485",485,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,4,5,5,5,1,1,1,1,1,1,1,5,5,3,3,5,3,3,3,3,3,5,5,5,3,3,3,3,3,3,5,1,1,1,5,5,5,3,1,1,11,1,2,18
"486",486,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,3,3,5,5,5,5,1,1,1,1,1,1,1,5,5,4,5,5,4,5,3,4,3,4,5,5,2,3,2,3,3,3,4,2,2,2,4,4,5,2,1,1,1,1,2,19
"487",487,4,3,4,2,2,3,5,4,4,3,3,3,3,4,4,4,5,3,4,3,3,2,3,2,3,3,3,3,3,1,1,1,1,1,1,1,4,4,3,4,4,4,4,2,4,2,4,3,3,3,3,3,3,3,3,3,2.9,3,3,3,4,4,3,1,1,2,1,2,19.33
"488",488,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,18
"489",489,5,3,3,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,1,1,1,1,1,1,1,3,4,4,4,3,3,4,3,3,2,4,3,3,4,3,3,4,3,3,2,3,2,2,3,4,3,1,1,2,2,1,2,17
"490",490,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,3,4,3,3,4,4,4,5,2,4,2,3,3,3,4,2,2,2,4,4,4,2,1,1,3,1,2,18
"491",491,5,3,3,4,5,2,5,3,4,4,4,3,2,2,3,5,4,4,5,5,3,4,4,4,3,3.41,4,2,5,1,1,1,1,1,1,1,4,5,3,3,4,3,4,3.18,4,3,3,3,2,3,3,2,4,4,3,5,2,3,2,4,2,4,1,1,2,4,1,2,17
"492",492,5,4,4,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,5,4,3,1,2,2,3,3,5,5,4,1,1,1,1,1,1,1,5,4,4,4,3,4,4,3,4,1,4,3,5,5,5,5,1,1,2,5,2,2,1,4,5,4,1,1,1,4,1,2,18
"493",493,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18
"494",494,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,1,2,1,1,1,18
"495",495,4,4,3,4,4,3,5,4,4,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,2,3,4,4,4,1,1,1,1,1,1,1,3,4,4,3,3,3,4,3,3,3,3,4,2,3,3,3,3,3,3,2,2,1,2,4,4,5,7,1,2,1,1,2,18
"496",496,4,3,3,5,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,3,3,3,3,4,4,4,1,1,1,1,1,1,1,5,5,4,4,3,4,5,3,4,3,3,4,5,4,4,5,2,3,3,4,2,1,2,5,5,4,4,1,2,4,1,2,19
"497",497,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,1,1,2,1,2,18
"498",498,4,4,5,3,4,3,3,3,3,2,2,3,3,3,4,4,4,3,3,2,2,3,3,3,3,2,4,3,3,1,1,1,1,1,1,1,3,5,4,5,3,4,4,2,3,3,3,3,5,3,3,2,2,3,3,3,3,3,2,4,5,4,3,1,2,1,1,2,21
"499",499,5,4,3,4,5,5,4,3,3,3,1,1,3,3,4,4,4,4,4,4,4,3,3,5,4,4,5,5,3,1,1,1,1,1,1,1,4,5,4,4,5,4,4,4,5,4,5,5,5,2,3,2,3,3,3,4,2,1,3,5,5,5,3,1,1,3,1,2,21
"500",500,5,4,5,4,4,4,4,3,4,3,3,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,3,4,4,1,1,1,1,1,1,1,5,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,2,2,3,5,5,4,4,1,2,4,1,2,21
"501",501,3,3,3.56,3,4,3,3.4,4,3,3,3,3,3.33,3,3,3,3,4,3,3,3,3,3,2.98,3.14,3,3,3,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4.87,5,5,4,5,4,5,5,5,1,1,1,5,5,4.93,5,1,1,1,1,2,18
"502",502,4,4,5,5,5,5,4,3,4,3,3,3,4,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,4,1,1,1,1,1,1,1,4,4,4,4,3,4,4,3,5,3,4,3,4,3,3,3,3,3,2,3,3,2,2,5,5,3,2,1,2,2,1,2,20
"503",503,4,3,4,5,5,4,4,3,3,3,4,3,5,5,5,5,5,5,2,3,3,2,4,2,3,4,4,5,4,1,1,1,1,1,1,1,5,5,5,5,3,3,3,3,4,3,4,5,5,2,4,4,2,2,3,3,3,3,3,4,4,5,1,1,2,1,1,2,22
"504",504,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18
"505",505,5,3,4,4,3,4,4,4,5,3,3,3,3,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,1,1,1,1,1,1,1,5,4,4,4,5,3,4,3,5,3,5,4,5,5,5,5,2,3,3,3,3,1,1,3,4,4,2,1,2,1,1,6,16
"506",506,3,4,4,5,4,4,4,3,4,3,3,3,5,4,4,4,4,3,3,3,5,2,4,2,3,3,3,3,3,1,1,1,1,1,1,1,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,4,1,2,2,1,2,18
"507",507,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,1,1,1,1,1,1,4,4,4,4,4,5,5,2,4,2,3,4,5,3,3,3,3,3,3,4,1,1,1,5,5,3,3,1,1,2,1,2,16
"508",508,5,4,4,5,5,5,5,5,5,1,1,1,5,5,3,5,5,4,3,2,2,3,3,3,3,2,5,5,3,1,1,1,1,1,1,1,5,5,5,5,4,5,5,3,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,5,5,3,3,1,1,1,1,2,21
"509",509,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,4,3,2,4,2,4,1,2,4,1.32,2.46,17
"510",510,5,3,4,5,5,5,5,4,4,3,3,3,3,5,5,4,5,4,4,4,4,2,4,3,3,3,4,5,5,1,1,1,1,1,1,1,5,5,4,4,5,4,5,5,5,3,5,5,5,4,4,3,2,3,1,5,1,1,1,5,5,5,7,1,2,10,1,2,18
"511",511,5,5,4,5,5,5,5,3,5,5,3,3,5,5,5,5,5,1,3,3,3,1,3,2,3,3,5,5,4,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,2,1,2,4,5,4,4,1,2,6,1,2,18
"512",512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,2,2,2,4,5,4,3,1,1,1,1,2,19
"513",513,5,4,5,4,5,5,4,5,5,3,3,3,4,5,5,4,4,3,5,3,4,2,4,4,3,3,4,4,4,1,1,1,1,1,1,1,3,3,3,3,3,3,1,2,2,2,2,3,3,5,4,5,1,3,5,3,3,1,2,2,5,4,5,1,1,1,1,2,17
"514",514,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,1,1,1,1,2,18
"515",515,5,3,5,4,5,3,3,3,4,3,3,3,3,5,4,4,4,3,3,3,5,2,3,3,3,3,5,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,5,3,3,3,5,4,4,4,2,3,2,3,3,3,3,3,3,3,2,1,2,3,1,2,18
"516",516,5,3,4,5,5,5,5,5,5,3,2,3,4,4,5,5,5,5,4,3,4,2,2,3,4,4,5,4,4,1,1,1,1,1,1,1,5,5,4,5,3,5,4,4,5,2,3,3,4,3,3,3,3,4,4,3,3,2,2,5,4,4,4,1,1,3,1,2,20
"517",517,5,4,5,5,5,4,5,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,1,1,1,1,1,1,1,5,5,5,5,4,5,5,3,4,3,4,5,4,3,4,3,3,3,3,3,1,2,2,5,5,4,4,3,1,1,1,2,19
"518",518,4,4,4,5,4,4,3,4,4,3,3,4,4,5,5,4,4,4,3,3,3,3,3,2,3,3,4,4,4,1,1,1,1,1,1,1,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,2,2,1,4,5,4,5,1,2,1,1,2,18
"519",519,5,4,4,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4,1,1,1,1,1,1,1,4,5,5,5,4,3,4,3,4,3,4,4,4,2,2,3,3,2,3,4,1,1,2,5,5,5,3,1,1,3,1,2,19
