"","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","na_count","total_score"
"474",5,3,4,5,5,3,4,3,3,3,3,2,NA,5,5,5,5,5,3,2,3,2,2,NA,NA,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,3,7,1,1,2,1,1,9,18
"475",3,3,4,5,5,5,4,4,5,3,3,4,5,4,5,4,4,5,3,4,4,2,3,1,4,4,5,4,5,NA,NA,1,NA,NA,NA,NA,3,4,4,3,4,3,3,3,4,3,4,4,4,4,5,5,4,4,4,4,3,4,3,3,3,2,3,1,2,2,1,2,6,18
"476",5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,3,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,2,1,2,1,1,2,6,18
"477",5,5,5,5,5,5,5,5,5,4,3,3,3,5,4,5,4,5,5,4,4,3,4,3,3,3,3,4,5,NA,NA,1,NA,NA,NA,NA,3,4,4,3,3,3,4,3,3,3,3,4,5,4,4,5,5,4,5,5,5,5,3,NA,4,4,7,1,2,1,1,2,7,NA
"478",4,5,5,5,4,5,5,3,5,5,2,3,3,5,5,2,5,4,5,3,4,3,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,2,1,1,2,6,30
"479",5,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,1,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,3,5,3,3,4,2,4,3,4,4,4,4,4,4,4,4,5,4,3,4,2,2,3,3,1,1,2,3,1,2,6,17
"480",4,3,3,3,3,3,3,3,4,2,2,2,3,4,3,3,3,2,3,3,3,3,3,3,2,2,4,2,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,4,4,5,NA,3,3,4,3,4,4,4,5,3,4,3,3,3,3,2,3,1,1,2,1,1,2,7,17
"481",4,4,4,4,4,4,5,4,4,2,3,2,4,4,5,4,4,4,3,3,4,2,3,2,4,3,3,4,4,NA,NA,NA,NA,NA,1,1,5,5,5,4,2,3,3,2,3,2,3,3,4,2,3,4,2,3,4,3,3,4,2,2,4,2,6,1,2,2,1,2,5,17
"482",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,4,5,5,5,1,NA,1,NA,NA,NA,NA,5,5,3,3,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,1,11,1,2,5,18
"483",5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,3,3,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,4,5,5,4,5,3,4,3,4,5,5,4,4,4,4,4,4,5,2,3,2,3,3,3,2,1,1,1,1,2,6,16
"484",4,3,4,2,2,3,5,4,4,3,3,3,3,4,4,4,5,3,4,3,3,2,3,2,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,4,4,3,4,4,4,4,2,4,2,4,3,3,3,NA,3,3,3,4,4,3,3,3,3,3,3,3,1,1,2,1,2,7,18
"485",3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,6,18
"486",5,3,3,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,3,4,3,3,2,4,3,3,2,3,4,4,3,4,3,4,3,3,4,3,3,1,1,2,2,1,2,6,20
"487",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,3,4,3,3,4,4,4,5,4,4,4,4,4,4,4,2,4,2,3,3,3,2,1,1,3,1,2,6,17
"488",5,3,3,4,5,2,5,3,4,4,4,3,2,2,3,5,4,4,5,5,3,4,4,4,3,NA,4,2,5,NA,NA,1,NA,1,NA,NA,4,5,3,3,4,3,4,NA,4,3,3,3,2,5,4,3,4,4,2,4,3,3,2,4,4,3,1,1,2,4,1,2,7,19
"489",5,4,4,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,5,4,3,1,2,2,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,4,3,4,1,4,3,5,5,4,4,5,4,5,4,5,5,5,1,1,2,1,1,1,4,1,2,6,19
"490",5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,6,30
"491",5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,1,1,1,6,30
"492",4,4,3,4,4,3,5,4,4,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,2,3,4,4,4,NA,NA,NA,NA,NA,NA,1,3,4,4,3,3,3,4,3,3,3,3,4,2,2,4,5,4,4,4,5,3,3,3,3,3,3,7,1,2,1,1,2,6,18
"493",4,3,3,5,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,3,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,3,4,5,3,4,3,3,4,5,4,4,5,4,5,5,4,4,4,5,2,3,3,4,1,2,4,1,2,7,21
"494",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,2,1,2,6,30
"495",4,4,5,3,4,3,3,3,3,2,2,3,3,3,4,4,4,3,3,2,2,3,3,3,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,3,4,4,2,3,3,3,3,5,3,3,3,4,4,5,4,3,3,2,2,3,3,3,1,2,1,1,2,7,16
"496",5,4,3,4,5,5,4,3,3,3,1,1,3,3,4,4,4,4,4,4,4,3,3,5,4,4,5,5,3,NA,NA,1,NA,NA,NA,NA,4,5,4,4,5,4,4,4,5,4,5,5,5,4,4,5,3,5,5,5,2,3,2,3,3,3,3,1,1,3,1,2,6,16
"497",5,4,5,4,4,4,4,3,4,3,3,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,3,4,4,NA,NA,1,NA,NA,NA,NA,5,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3,5,5,4,3,3,3,3,4,4,4,1,2,4,1,2,6,20
"498",4,4,5,5,5,5,4,3,4,3,3,3,4,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,4,3,5,3,4,3,4,3,3,4,4,5,5,3,3,3,3,3,3,2,2,1,2,2,1,2,6,17
"499",4,3,4,5,5,4,4,3,3,3,4,3,5,5,5,5,5,5,2,3,3,2,4,2,3,4,4,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,3,3,3,4,3,4,5,5,3,3,3,3,4,4,5,2,4,4,2,2,3,1,1,2,1,1,2,6,17
"500",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,30
"501",5,3,4,4,3,4,4,4,5,3,3,3,3,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,1,NA,NA,NA,5,4,4,4,5,3,4,3,5,3,5,4,5,3,3,5,5,3,4,4,5,5,5,2,3,3,2,1,2,1,1,6,6,23
"502",3,4,4,5,4,4,4,3,4,3,3,3,5,4,4,4,4,3,3,3,5,2,4,2,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,1,2,2,1,2,6,18
"503",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,NA,1,NA,NA,NA,NA,4,4,4,4,4,5,5,2,4,2,3,4,5,4,5,5,5,5,5,3,3,3,3,3,3,3,3,1,1,2,1,2,5,18
"504",5,4,4,5,5,5,5,5,5,1,1,1,5,5,3,5,5,4,3,2,2,3,3,3,3,2,5,5,3,NA,NA,1,NA,NA,1,NA,5,5,5,5,4,5,5,3,4,4,4,4,4,3,3,4,3,5,5,3,3,3,3,3,3,3,3,1,1,1,1,2,5,18
"505",4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,3,2,4,2,4,4,4,4,3,3,4,1,2,4,NA,NA,8,22
"506",5,3,4,5,5,5,5,4,4,3,3,3,3,5,5,4,5,4,4,4,4,2,4,3,3,3,4,5,5,NA,NA,NA,NA,NA,NA,1,5,5,4,4,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,3,2,3,1,7,1,2,10,1,2,6,17
"507",5,5,4,5,5,5,5,3,5,5,3,3,5,5,5,5,5,1,3,3,3,1,3,2,3,3,5,5,4,1,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,4,5,4,3,3,3,3,3,3,4,1,2,6,1,2,5,18
"508",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,3,3,3,3,1,1,1,1,2,6,20
"509",5,4,5,4,5,5,4,5,5,3,3,3,4,5,5,4,4,3,5,3,4,2,4,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,1,2,2,2,2,3,3,3,3,5,4,2,5,4,5,4,5,1,3,5,5,1,1,1,1,2,6,23
"510",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,2,6,30
"511",5,3,5,4,5,3,3,3,4,3,3,3,3,5,4,4,4,3,3,3,5,2,3,3,3,3,5,4,4,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,2,5,3,3,3,5,3,3,3,3,3,3,3,4,4,4,2,3,2,2,1,2,3,1,2,6,19
"512",5,3,4,5,5,5,5,5,5,3,2,3,4,4,5,5,5,5,4,3,4,2,2,3,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,5,4,4,5,2,3,3,4,3,3,4,4,5,4,4,3,3,3,3,4,4,4,1,1,3,1,2,6,20
"513",5,4,5,5,5,4,5,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,NA,NA,1,NA,NA,NA,NA,5,5,5,5,4,5,5,3,4,3,4,5,4,3,5,4,4,5,5,4,3,4,3,3,3,3,4,3,1,1,1,2,6,19
"514",4,4,4,5,4,4,3,4,4,3,3,4,4,5,5,4,4,4,3,3,3,3,3,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,5,4,5,4,3,3,3,3,4,4,5,1,2,1,1,2,6,20
"515",5,4,4,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,5,5,5,4,3,4,3,4,3,4,4,4,4,5,5,4,5,5,5,2,2,3,3,2,3,3,1,1,3,1,2,6,15
"516",5,5,4,5,5,5,5,5,5,3,3,3,3,5,4,5,5,5,5,3,4,2,3,4,3,3,5,5,3,NA,NA,NA,1,NA,NA,NA,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1,1,2,6,18
"517",5,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,3,3,4,4,NA,NA,1,1,NA,NA,NA,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,4,5,1,2,1,1,2,5,21
"518",5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,3,3,3,3,3,3,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,4,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,3,3,6,1,2,2,1,2,6,19
"519",5,5,5,5,5,5,5,4,4,3,3,3,3,4,4,3,5,5,5,4,5,2,2,3,3,5,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,2,2,2,3,4,3,3,3,4,3,3,4,3,3,3,2,3,3,3,4,1,2,1,1,2,6,17
"520",4,4,4,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,5,1,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,4,2,3,2,2,3,2,2,3,5,5,5,1,3,4,5,4,2,1,3,2,1,1,4,1,2,6,19
"521",5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,5,5,4,4,3,3,2,2,3,2,2,5,4,4,NA,NA,NA,NA,NA,NA,1,4,5,5,4,4,4,4,3,5,3,5,3,5,4,4,5,4,5,4,5,3,4,3,3,3,3,1,1,1,1,1,2,6,19
"522",3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,2,3,2,4,3,4,4,3,NA,NA,1,NA,NA,NA,NA,5,4,4,3,4,3,3,1,4,3,4,3,4,3,3,4,4,4,2,4,4,3,3,2,2,2,3,1,2,1,1,2,6,16
"523",5,5,5,5,5,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,2,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,5,4,3,3,3,3,3,3,4,1,2,1,1,2,6,18
"524",5,4,5,5,5,5,4,3,4,4,3,3,3,5,4,3,4,3,4,2,4,3,3,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,5,5,3,3,3,3,3,5,2,2,4,2,2,4,3,5,3,3,3,4,3,3,1,2,1,1,2,6,21
"525",4,3,4,3,3,3,4,3,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,3,3,4,2,3,3,4,2,2,4,4,4,4,4,3,3,3,3,3,3,2,1,2,8,1,2,6,18
"526",4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,1,1,2,6,30
"527",4,4,3,4,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,3,3,3,2,3,3,3,4,4,1,NA,1,NA,NA,NA,NA,4,5,4,4,4,3,3,3,3,3,4,4,4,2,4,3,2,5,5,5,3,3,4,2,4,3,7,1,2,4,1,2,5,19
"528",4,4,4,4,4,4,4,4,4,4,3,2,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,NA,1,NA,NA,NA,NA,NA,5,5,4,3,3,3,5,3,3,2,2,3,3,4,4,4,3,3,3,3,4,3,2,1,3,3,3,1,NA,1,1,2,7,16
"529",5,3,4,5,3,5,4,4,4,3,3,3,3,4,1,5,5,5,5,3,3,3,3,2,3,2,4,4,4,NA,NA,NA,NA,NA,NA,1,4,3,3,4,3,3,3,2,5,2,2,4,5,3,3,3,3,3,3,3,4,4,4,3,2,2,5,1,2,1,1,2,6,19
"530",5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,NA,NA,NA,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,4,4,4,2,4,NA,4,4,4,7,1,1,1,1,2,5,NA
"531",5,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,NA,NA,NA,NA,NA,NA,1,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,1,2,4,1,2,6,18
"532",5,3,5,5,4,5,5,5,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,5,3,1,NA,NA,NA,NA,NA,NA,4,5,4,4,4,3,4,3,4,3,4,5,5,3,4,4,3,4,4,4,3,3,3,3,3,3,4,1,2,1,1,2,6,18
"533",4,3,3,3,3,3,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,1,5,2,4,5,4,5,5,4,5,4,4,3,4,4,4,5,5,5,5,5,3,3,3,3,3,3,2,1,2,1,1,2,6,18
"534",4,4,2,5,5,5,4,4,5,2,2,4,4,4,4,3,4,4,4,3,4,1,3,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,4,2,2,3,2,3,1,1,2,2,1,2,6,16
"535",4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,2,3,3,3,3,4,3,4,4,3,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,2,4,3,3,3,3,3,3,1,1,1,1,1,2,6,18
"536",5,4,4,5,4,5,5,4,4,4,4,3,4,5,5,4,5,4,4,4,4,3,3,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,4,3,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,1,3,3,1,1,2,1,1,2,6,19
"537",4,2,3,3,3,4,4,4,3,3,2,2,3,4,4,4,3,4,4,3,4,2,3,2,3,2,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,3,3,3,4,3,4,4,5,3,4,4,5,4,3,5,3,3,3,2,3,3,NA,1,1,1,1,1,7,17
"538",4,4,3,4,4,3,4,3,4,2,2,2,4,3,4,3,3,3,3,2,3,3,2,2,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,2,5,5,3,5,3,3,3,4,2,3,4,5,4,5,4,3,3,2,3,3,2,6,1,2,1,1,2,7,16
"539",3,3,4,4,4,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,4,3,3,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,5,5,3,5,3,4,3,3,5,5,5,5,5,5,5,3,3,3,3,3,2,5,1,1,5,1,2,6,17
"540",4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,5,4,3,1,NA,NA,NA,NA,1,NA,5,5,4,5,4,4,4,3,4,3,3,3,5,3,4,5,5,4,4,4,3,4,3,3,3,3,3,1,1,4,1,2,5,19
"541",5,4,4,4,5,5,5,5,5,3,3,3,4,4,5,4,5,4,4,3,4,1,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,4,4,4,4,5,4,5,5,5,5,4,4,4,4,3,3,3,1,5,1,2,2,1,2,6,18
"542",5,3,4,4,5,4,5,3,4,3,3,2,4,4,3,4,4,3,3,2,4,3,3,4,2,2,5,2,3,NA,NA,NA,NA,NA,NA,1,4,5,3,4,4,5,5,2,3,2,4,2,3,2,3,4,4,4,5,4,3,2,2,3,2,3,7,1,2,1,1,2,6,15
"543",4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,5,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,4,1,2,6,18
"544",4,4,3,3,3,4,3,4,3,3,4,3,4,4,4,3,3,3,2,3,3,4,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,4,4,3,4,3,3,1,1,1,3,1,2,6,21
"545",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,1,3,1,5,4,5,1,5,4,5,5,5,5,1,3,1,4,5,5,4,1,2,7,1,2,6,19
"546",4,4,3,5,5,5,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,4,4,5,5,5,1,1,1,NA,NA,1,NA,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,4,4,3,3,3,3,3,3,2,2,1,4,1,2,3,18
"547",3,4,3,4,5,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,3,1,2,6,18
"548",4,4,4,3,5,5,4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,3,2,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,1,1,2,1,2,6,21
"549",3,4,4,3,4,5,4,4,4,4,3,2,4,4,3,3,3,4,3,3,3,2,3,2,3,4,4,4,4,NA,1,NA,NA,NA,NA,1,3,3,4,4,4,3,2,2,2,3,4,4,4,3,3,3,4,5,4,4,4,4,2,1,3,3,1,1,1,3,1,2,5,17
"550",5,4,4,5,3,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,3,3,2,3,2,2,2,2,3,3,2,4,4,4,4,4,4,4,1,1,1,3,3,3,3,1,1,2,1,2,7,12
"551",4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,4,4,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,3,5,3,3,3,4,3,5,5,5,5,5,5,3,3,4,3,4,2,4,1,1,4,1,2,6,19
"552",4,3,4,4,4,4,4,5,2,3,3,2,2,4,4,3,4,3,2,3,4,2,3,2,3,2,3,4,4,NA,NA,1,NA,NA,NA,NA,4,4,5,5,5,3,4,2,3,3,4,5,3,3,4,5,4,4,4,5,3,3,3,3,3,3,2,1,1,6,1,2,6,18
"553",5,3,4,3,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,3,4,3,2,2,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,5,3,4,2,3,4,3,4,2,3,2,4,3,3,3,3,3,5,3,2,2,2,2,3,3,6,1,2,1,1,2,6,14
"554",4,3,4,4,5,4,4,4,4,3,2,2,4,4,4,4,4,3,4,2,4,3,4,3,4,4,4,4,3,NA,1,NA,NA,NA,NA,NA,4,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,2,2,2,4,4,3,4,1,2,1,1,2,6,17
"555",4,4,4,4,4,4,4,4,4,5,3,2,3,4,3,4,3,3,3,4,5,4,3,1,4,4,4,4,4,NA,NA,1,NA,1,NA,NA,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,5,4,4,4,4,2,2,2,3,NA,3,5,1,1,1,1,2,6,NA
"556",4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,5,5,5,5,4,4,4,4,4,5,2,1,2,2,1,2,6,25
"557",5,4,4,2,3,4,4,4,5,3,4,3,3,5,4,4,NA,4,3,3,4,3,4,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,3,3,3,4,3,4,4,5,3,3,4,4,4,3,4,3,3,3,3,5,3,2,1,1,1,1,2,7,20
"558",4,3,4,4,3,4,5,5,4,3,3,3,3,5,5,4,4,4,4,3,5,3,4,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,3,5,4,4,5,3,5,3,3,2,5,5,5,4,4,5,5,5,4,5,4,4,4,3,3,3,3,1,1,1,1,2,6,21
